station_id,station,lat,long
226,Commonwealth Ave At Babcock St,42.35154734791375,-71.12126246094704
227,Silber Way,42.34949599514002,-71.10057592391968
228,One Memorial Drive,42.361619320766856,-71.0804355052096
232,Four Corners - 157 Washington St,42.30412792739016,-71.07929527759552
233,St Mary's,42.346197076555455,-71.10728681087494
234,Broadway at Central St,42.39517150121575,-71.09850591982195
235,East Somerville Library (Broadway and Illinois),42.3876281075134,-71.08318716287613
236,Assembly Square T,42.39223284004628,-71.07746601104736
239,Community Path at Cedar Street,42.39407223665884,-71.11133694648743
255,Park St at Norwell St,42.29442578670662,-71.07821760713703
258,Gallivan Blvd at Adams St,42.28297567840305,-71.05466698296368
259,Washington St at Bowdoin St,42.29916497936589,-71.07345871645519
260,Fields Corner T Stop,42.29963348842063,-71.06068975823291
271,Ashmont T Stop,42.2856944,-71.0641389
272,Shawmut T Stop,42.292917,-71.06575
273,Forest Hills,42.300923,-71.114249
279,Williams St at Washington St,42.306539,-71.107669
280,Main St at Baldwin St,42.380857,-71.070629
282,Stony Brook T Stop,42.316966,-71.104374
296,Farragut Rd at E. 6th St,42.3334,-71.02495
308,BCBS Hingham,42.16722555541654,-70.90555783370291
317,BCBS Quincy,42.27600498756665,-71.03924982267927
318,Ames St at Broadway,42.3636929,-71.0875672
319,84 Cambridgepark Dr,42.3936,-71.143941
327,Main St at Thompson Sq,42.374878467440965,-71.06383498767171
328,Grove St at Community Path,42.396386809455,-71.12011306006025
329,Washington St at Myrtle St,42.38097703153345,-71.08725410060288
329,Washington St at Myrtle St,42.3817508,-71.0839523
330,30 Dane St,42.38100143038052,-71.10402522613185
331,Huntington Ave at Mass Art,42.336585554561154,-71.0988699646623
332,Harvard Ave at Brainerd Rd,42.34953016890375,-71.13022770741735
333,699 Mt Auburn St,42.37500235137831,-71.14871613699506
334,Mass Ave at Hadley/Walden,42.39120971915856,-71.12260755160605
335,Harvard St at Greene-Rose Heritage Park,42.36599432867437,-71.09522221614498
336,Mattapan T Stop,42.267902,-71.093641
337,Roslindale Village - South St,42.287072,-71.127754
338,Commonwealth Ave at Kelton St,42.348358628170445,-71.13997217276847
339,Archdale Rd at Washington St,42.29266592872725,-71.12119538714069
340,Blue Hill Ave at Almont St,42.27462067181224,-71.09372552493369
341,Roslindale Village - Washington St,42.28630716010807,-71.12820532182013
342,Boylston St at Jersey St,42.34465062887831,-71.09732501226972
343,Morton St T,42.280725142920296,-71.08617242434775
344,Commonwealth Ave at Chiswick Rd,42.34024644768889,-71.15168806174552
345,Park Plaza at Charles St S.,42.35182806892068,-71.06781138111728
346,Cleveland Circle,42.335543083570826,-71.15061519672052
347,Thetford Ave at Norfolk St,42.286212948246096,-71.07942931372236
348,Talbot Ave At Blue Hill Ave,42.2945833,-71.087111
349,Washington St at Talbot Ave,42.290333,-71.071806
350,Codman Square Library,42.2873611,-71.071111
351,Faneuil St at Arlington St,42.35276620545606,-71.15988485533308
352,Ring Rd,42.348278385426255,-71.08044855314802
353,Mattapan Library,42.2773889,-71.09325
354,Washington St at Egremont Rd,42.34286835071959,-71.14127840855872
355,Bennington St at Constitution Beach,42.385223935870535,-71.01063068965232
356,Charlestown Navy Yard,42.374124549426526,-71.05481199938367
357,Centre St at Seaverns Ave,42.3121203,-71.1142981
358,Medford St at Charlestown BCYF,42.380429474494896,-71.06055721676967
359,One Brigham Circle,42.33392270136997,-71.10446508982932
360,Bartlett St at John Elliot Sq,42.3294633,-71.0901582
361,Deerfield St at Commonwealth Ave,42.34924376955301,-71.09728209692548
362,Columbia Rd at Tierney Community Center,42.33023070528729,-71.05060093123029
363,Harrison Ave at Mullins Way,42.34521562115022,-71.0638403149278
364,Tremont St at Northampton St,42.338431795290944,-71.08169049924982
364,Tremont St at Northampton St,42.33889559644165,-71.08149975611013
365,Harrison Ave at Bennet St,42.34942609892521,-71.06209959843909
367,Vassal Lane at Tobin/VLUS,42.38536765218425,-71.13775670528412
368,Blue Hill Ave at Southwood St,42.31786020589988,-71.07798628527235
370,Dartmouth St at Newbury St,42.35096144421219,-71.07782810926437
371,700 Huron Ave,42.380788172914286,-71.15412890911102
372,Boylston St at Exeter St,42.349589423682445,-71.0794677917329
373,Belgrade Ave at Walworth St,42.28634589486312,-71.13672129828046
374,Tremont St at Hamilton Pl,42.35668334969929,-71.06166645884514
376,Honan Library,42.36027370454934,-71.12852452327388
377,Perry Park,42.37927324600841,-71.10341902831351
378,191 Beacon St,42.38032335045416,-71.10878612855231
379,Tremont St at W. Dedham St,42.34254913737952,-71.07421449387857
380,Mass Ave at Albany St,42.36135837662249,-71.09670273977825
381,Inman Square at Springfield St.,42.37426713524931,-71.10026478767395
384,Clarendon St at Newbury St,42.35159662465317,-71.0756166279316
385,Albany St at E. Brookline St,42.33664795427071,-71.0689445958451
386,Sennott Park Broadway at Norfolk Street,42.36860524248197,-71.09930185605663
387,7 Acre Park,42.41143222973408,-71.06823265090497
389,Everett Square (Broadway at Chelsea St),42.40743489432222,-71.05533242225647
389,Everett Square (Broadway at Chelsea St),42.406956789102416,-71.05650289605819
389,Everett Square (Broadway at Chelsea St),42.40725945172653,-71.05546381333625
390,Broadway at Lynde St,42.39648358247693,-71.06546759905541
391,Encore,42.39329263225162,-71.0724475979805
392,Glendale Square (Ferry St at Broadway),42.41427294293992,-71.04479655659816
393,Swan St. Park,42.412504507772105,-71.05842225271772
394,Broadway at Maple St,42.410346909767846,-71.05260457852637
395,Chelsea St at Vine St,42.40328056972533,-71.04762639859473
396,Wasgott Playground,42.4093300667225,-71.06381878293178
397,Broadway at Beacham St,42.39836059620832,-71.06373842814719
398,75 Binney St,42.36550728505653,-71.0801375997653
399,Shawmut Ave at Oak St W,42.34854543411198,-71.06559185315746
400,Lansdowne T Stop,42.34734473177431,-71.1001680795016
401,High St at Cypress St,42.32464510949409,-71.12135231494904
402,Washington Sq,42.33985827126298,-71.13421171095978
402,Washington St at Griggs Rd,42.33985827126298,-71.13421171095978
403,Marion St at Harvard St,42.34012242696642,-71.12070563810447
404,Mass Ave T Station,42.34135615767354,-71.08336953450817
405,Sydney St at Carson St,42.32039374304257,-71.05355408051764
406,Somerville City Hall Annex,42.39189811591863,-71.09745375830244
407,Craigie at Summer St,42.38350130091656,-71.10808975291548
407,Craigie at Summer St,42.38831607584243,-71.1106824874878
408,Edgerly Education Center,42.38717463348314,-71.08714388528824
409,Elm St at White St,42.38952436305763,-71.11694140364307
410,Adams St at Lonsdale St,42.291679428741226,-71.05726346409938
412,Washington St at Peters Park,42.34303291130257,-71.06688730436872
413,Kennedy-Longfellow School 158 Spring St,42.36955297756508,-71.08579014980933
414,Discovery Park - 30 Acorn Park Drive,42.39790817368333,-71.14797130814623
415,Stuart St at Berkeley St,42.34954403114251,-71.0724207387284
416,Blossom St at Charles St,42.36435589027983,-71.0695936904267
417,Columbus Ave at W. Canton St,42.34474224772802,-71.07648162175792
419,Central Square East Boston,42.37544912547037,-71.03918548682486
421,Northbourne Rd at Hyde Park Ave,42.29118034790426,-71.117736660035
422,American Legion Hwy at Cummins Hwy,42.278811581565975,-71.11687703062671
423,Mt. Hope St at Hyde Park Ave,42.28484472443536,-71.11874517062459
424,Jamaica St at South St,42.3060456272408,-71.11570891001975
425,The Dimock Center,42.3193094317828,-71.09639923859504
426,Surface Rd at Summer St,42.35294569782581,-71.05656400803126
427,Washington St at Denton Terr,42.280728147169015,-71.13423757273267
428,Western Ave at Richardson St,42.36178741066188,-71.14393111327445
430,Washington St at Walsh Playground,42.27719469639791,-71.06955613950048
431,Washington St at Fuller St,42.281986277339136,-71.07147924620222
432,Centre St at W. Roxbury Post Office,42.28633199112775,-71.15344755369732
433,Centre St at Parkway YMCA,42.28277901074054,-71.15728851416861
434,Spring St at Powell St,42.277484442008216,-71.16341467955863
435,Central Ave at River St,42.27094707029229,-71.07337901405117
436,Maverick St at Massport Path,42.36774122306014,-71.0333597474255
437,Berkshire Street at Cambridge Street,42.37207657915397,-71.08995433905875
440,Boston Landing,42.35656092308941,-71.14167537549292
441,Sullivan Square,42.38445225635844,-71.07514854529654
442,Hyde Park Ave at Walk Hill St,42.29606704649873,-71.11601199963843
443,Whittier St Health Center,42.33286288486264,-71.09218861916816
445,Geiger Gibson Community Health Center,42.31886468217537,-71.04536797860419
446,700 Commonwealth Ave.,42.34960945333059,-71.10391523698127
447,The Overlook at St. Gabriel's,42.34679008347347,-71.14549813806661
448,Hale Park,42.414962648832656,-71.05279301009432
448,Hale Park,42.4206487,-71.0437126
452,1200 Beacon St,42.34414898749529,-71.11467361450195
454,Boylston St at Dartmouth St,42.35010609546997,-71.07720464005979
454,Boylston St at Dartmouth St,42.35019319808638,-71.07744187116623
455,Coolidge Sq.,42.37207611472287,-71.15683130688922
456,Graham and Parks School – Linnaean St at Walker St,42.38294430172271,-71.12449831038248
458,Watertown Sq,42.365260317694485,-71.18573324459247
459,Canal St at Causeway St,42.36530094929082,-71.06092190993877
460,Broad St at Central St,42.35849449039304,-71.05426469875965
461,Railroad Lot and Minuteman Bikeway,42.41606457115141,-71.15336636682059
462,Linwood St at Minuteman Bikeway,42.40935395518158,-71.14906518727366
463,Smith Pl at Wilson Rd,42.39239749145834,-71.15058331757609
464,Mass Ave at Grafton St,42.40726052447951,-71.14382132425817
465,Broadway at Grafton St,42.40994213011757,-71.14009319811885
466,Centre St at Washington St,42.35574334805774,-71.18641942508475
467,Washington St at Crafts St,42.35389024396587,-71.19943707257335
468,Nonantum Library,42.36068455768156,-71.20146199598821
469,Bacon St at Washington St,42.35711920909866,-71.1860453666327
470,Union St at Herrick Rd – Newton Centre Green Line,42.32956868185623,-71.19367271661758
471,MIT Carleton St at Amherst St,42.36054174140606,-71.08669817447662
472,MIT Hayward St at Amherst St,42.36085937353302,-71.08551858007559
473,West Newton,42.34960049864208,-71.2262749671936
474,Watertown St at Albemarle Rd,42.354104081396585,-71.21382214128971
475,Arsenal Yards,42.36277388549605,-71.15764854490408
476,Boylston St at Charles St,42.3525760946701,-71.06764405041758
477,Marion St at White St,42.38066930871317,-71.03907315999093
478,Gove St at Orleans St,42.37057753242139,-71.03558540113227
479,Galileo Galilei Way at Main Street,42.363003781560096,-71.08974037706501
480,Thorndike Field at Minuteman Bikeway,42.40016804853787,-71.14456963094199
481,645 Summer St,42.341780891371904,-71.03987016504107
482,Kearins Playground,42.40616124132245,-71.06041654944418
483,Porzio Park,42.364119035231525,-71.02876782417297
484,Revere Public Library,42.408088,-71.008942
485,Revere City Hall,42.40741,-71.0139
486,Langley Lot,42.330528,-71.192861
487,Community Path at Lowell St,42.392525,-71.105587
488,Martha Eliot Health Center,42.324173,-71.10196
489,Day Sq,42.379295,-71.027733
490,Blue Hill Ave at Havelock St,42.286012,-71.090986
491,Harrison Ave at E. Dedham St,42.339194,-71.06975
492,Harvard Stadium: N. Harvard St at Soldiers Field Rd,42.368019,-71.1242
493,2 Hummingbird Lane at Olmsted Green,42.28887,-71.095003
